taxon_name,host_family,host_genus,substrate_type,lifestyle,country,locality,voucher,substrate_notes,reference,Taxonomy id,Source,BioProject,BioSample,Notes,Information_page
Nostoc_sp_CHAB_5836,NA,NA,terricolous,Free-living,China,Henan,NA,NA,Huo D et al. 2021,2780404,RefSeq,PRJNA668662,SAMN16418217,,https://www.ncbi.nlm.nih.gov/biosample/?term=SAMN16418217
Nostoc_sphaeroides_CHAB_2801,NA,NA,terricolous,Free-living,China,Hubei,NA,NA,Huo D et al. 2021,2780406,RefSeq,PRJNA668662,SAMN16418221,,https://www.ncbi.nlm.nih.gov/biosample?LinkName=assembly_biosample&from_uid=11421541
Nostoc_favosum_CHAB5714,NA,NA,terricolous,Free-living,China,Jilin,NA,NA,Huo D et al. 2021,2780399,RefSeq,PRJNA668662,SAMN16418212,,https://www.ncbi.nlm.nih.gov/biosample/?term=SAMN16418212
Nostoc_sp_XA010,NA,NA,terricolous,Free-living,China,Xinjiang,NA,NA,Huo D et al. 2021,2780407,RefSeq,PRJNA668662,SAMN16418219,,https://www.ncbi.nlm.nih.gov/biosample/?term=SAMN16418219
Nostoc_mirabile_CHAB5784,NA,NA,terricolous,Free-living,China,Hubei,NA,NA,Huo D et al. 2021,2780401,RefSeq,PRJNA668662,SAMN16418214,,https://www.ncbi.nlm.nih.gov/biosample/?term=SAMN16418214
Nostoc_sp_CHAB_5715,NA,NA,terricolous,Free-living,China,Hrilongjiang,NA,NA,Huo D et al. 2021,2780400,RefSeq,PRJNA668662,SAMN16418213,,https://www.ncbi.nlm.nih.gov/biosample/?term=SAMN16418213
Nostoc_sp_CMAA1605,NA,NA,terricolous,Free-living,Brazil,"Itacoatiara (3.08,58.31)",NA,NA,NA,2055159,RefSeq,PRJNA419303,SAMN08049055,,https://www.ncbi.nlm.nih.gov/biosample/?term=SAMN08049055
Nostoc_sp_UHCC_0870,NA,NA,aquatic,Free-living,Finland,"Varlaxudden (60.26250000,25.64305556)",NA,Z8,Heinilä et al. 2021,2914041,RefSeq,PRJNA802184,SAMN25514200,brackish water,https://www.ncbi.nlm.nih.gov/biosample/?term=SAMN25514200
Nostoc_cf_commune_SO_36,NA,NA,terricolous,Free-living,Antarctica,"Lutzow-Holm Bay (69.36,38.20)",NA,BG-11,Chintalapati et al. 2006,449208,RefSeq,PRJDB12904,SAMD00439332,area of moss-dominated vegetation,https://www.ncbi.nlm.nih.gov/biosample/?term=SAMD00439332
Nostoc_sp_KVJ3,blasiaceae,blasia,terricolous,symbiotic,Norway,"Troms (69.64,18.73)",NA,Z8,Teikari e al. 2018,457945,RefSeq,PRJNA388731,SAMN13066476,,https://www.ncbi.nlm.nih.gov/biosample/?term=SAMN13066476
Nostoc_sp_UHCC_0926,lichen,lichen,terricolous,symbiotic,Finland,,NA,NA,Zoe May 2020 unpublished,3025190,RefSeq,PRJNA930330,SAMN33005007,,https://helda.helsinki.fi/handle/10138/315887
Nostoc_sp_FACHB_87,NA,NA,terricolous,Free-living,China,NA,NA,NA,Chen et al 2021,2692841,RefSeq,PRJNA598298,SAMN13702700,https://www.ncbi.nlm.nih.gov/biosample/SAMN13702700,
