sample_id	taxon_name	host_family	host_genus	radiation	substrate_type	lifestyle	country	locality	voucher	accession	reference	substrate_notes
S31	Peltigera_vitikainenii	peltigeraceae	peltigera	no	terricolous	symbiotic						
S32	Peltigera_vitikainenii	peltigeraceae	peltigera	no	terricolous	symbiotic						
S33	Peltigera_vitikainenii	peltigeraceae	peltigera	no	terricolous	symbiotic						
S34	Peltigera_vitikainenii	peltigeraceae	peltigera	no	terricolous	symbiotic						
S35	Peltigera_vitikainenii	peltigeraceae	peltigera	no	terricolous	symbiotic						
S37	Peltigera_vitikainenii	peltigeraceae	peltigera	no	terricolous	symbiotic						
S38	Peltigera_vitikainenii	peltigeraceae	peltigera	no	terricolous	symbiotic						
S39	Peltigera_appalachensis	peltigeraceae	peltigera	no	terricolous	symbiotic						
S40	Peltigera_appalachensis	peltigeraceae	peltigera	no	terricolous	symbiotic						
S41	Peltigera_appalachensis	peltigeraceae	peltigera	no	terricolous	symbiotic						
S42	S42	peltigeraceae	peltigera	no	terricolous	symbiotic						
S43	Peltigera_appalachensis	peltigeraceae	peltigera	no	terricolous	symbiotic						
S44	Peltigera	peltigeraceae	peltigera	no	terricolous	symbiotic						
S45	Peltigera_appalachensis	peltigeraceae	peltigera	no	terricolous	symbiotic						
S46	Peltigera_appalachensis	peltigeraceae	peltigera	no	terricolous	symbiotic						
S47	Peltigera_appalachensis	peltigeraceae	peltigera	no	terricolous	symbiotic						
S48	Peltigera_appalachensis	peltigeraceae	peltigera	no	terricolous	symbiotic						
S49	Peltigera_appalachensis	peltigeraceae	peltigera	no	terricolous	symbiotic						
S4	Lepidocollema_sp	pannariaceae	lepidocollema	no		symbiotic						
S5	Physma_sp	pannariaceae	physma	no		symbiotic						
S51	Peltigera_appalachensis	peltigeraceae	peltigera	no	terricolous	symbiotic						
S52	Peltigera_appalachensis	peltigeraceae	peltigera	no	terricolous	symbiotic						
S53	Peltigera_appalachensis	peltigeraceae	peltigera	no	terricolous	symbiotic						
S54	Peltigera_appalachensis	peltigeraceae	peltigera	no	terricolous	symbiotic						
S55	Peltigera_appalachensis	peltigeraceae	peltigera	no	terricolous	symbiotic						
S56	Peltigera_appalachensis	peltigeraceae	peltigera	no	terricolous	symbiotic						
S57	Peltigera_appalachensis	peltigeraceae	peltigera	no	terricolous	symbiotic						
S58	Peltigera_appalachensis	peltigeraceae	peltigera	no	terricolous	symbiotic						
S6	Lepidocollema_sp	pannariaceae	lepidocollema	no		symbiotic						
S60	Peltigera_appalachensis	peltigeraceae	peltigera	no	terricolous	symbiotic						
S61	Peltigera_asiatica	peltigeraceae	peltigera	no	terricolous	symbiotic						
S62	Peltigera_asiatica	peltigeraceae	peltigera	no	terricolous	symbiotic						
S63	Peltigera_asiatica	peltigeraceae	peltigera	no	terricolous	symbiotic						
S64	Peltigera_mikado	peltigeraceae	peltigera	no	terricolous	symbiotic						
S66	Peltigera_mikado	peltigeraceae	peltigera	no	terricolous	symbiotic						
